010001 |R     And *|002402.0+383437 |M         |  5.8    |  15.2      |            |V |53820.      |     |   409.2            |38   |S3,5e-S8,8e(M7e) |HIP   00002|
724794 |V4794 Sgr  |174505.2-290136 |M         |  7.6    |   8.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724795 |V4795 Sgr  |174505.8-285645 |M         |  9.3    |  10.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724796 |V4796 Sgr  |174506.0-285748 |M:        |  8.0    |   9.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724797 |V4797 Sgr  |174506.6-290100 |M         |  8.6    |   9.4      |            |K |            |     |                    |     |                 |77133      |
724798 |V4798 Sgr  |174507.2-285027 |M         |  8.0    |   9.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724799 |V4799 Sgr  |174507.2-290143 |M:        |  8.8    |   9.4      |            |K |            |     |                    |     |                 |77133 2MASS|
724800 |V4800 Sgr  |174507.6-291023 |M         |  9.5    |  11.6      |            |K |            |     |                    |     |                 |77133 2MASS|
724801 |V4801 Sgr  |174508.0-290901 |M:        |  9.4    |   9.9      |            |K |            |     |                    |     |                 |77133 2MASS|
724802 |V4802 Sgr  |174508.2-290122 |M:        |  9.7    |  11.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724803 |V4803 Sgr  |174508.5-291105 |M:        |  8.1    |   8.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724804 |V4804 Sgr  |174509.1-290121 |M:        | 10.0    |  11.5      |            |K |            |     |                    |     |                 |77133      |
724805 |V4805 Sgr  |174509.2-290610 |M         |  7.3    |   7.9      |            |K |            |     |                    |     |                 |77133 2MASS|
724806 |V4806 Sgr  |174509.5-290117 |M:        |  9.8    |  10.4      |            |K |            |     |                    |     |                 |77133 2MASS|
724807 |V4807 Sgr  |174510.7-290956 |M:        |  8.8    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724808 |V4808 Sgr  |174510.9-285124 |M:        |  9.6    |  10.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724809 |V4809 Sgr  |174511.0-290918 |M         |  8.5    |   8.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724810 |V4810 Sgr  |174511.4-291142 |M         |  7.9    |   8.7      |            |K |            |     |                    |     |                 |77133 2MASS|
724811 |V4811 Sgr  |174511.7-285618 |M:        |  8.4    |   9.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724812 |V4812 Sgr  |174511.9-290208 |M         |  7.3    |   8.6      |            |K |            |     |                    |     |                 |77133 2MASS|
724813 |V4813 Sgr  |174512.1-290425 |M         |  7.9    |   9.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724814 |V4814 Sgr  |174512.1-285902 |M         |  9.0    |   9.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724815 |V4815 Sgr  |174512.2-291111 |M         |  9.6    |  10.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724816 |V4816 Sgr  |174512.6-290036 |M         |  8.2    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724817 |V4817 Sgr  |174512.9-290447 |M         |  9.0    |   9.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724818 |V4818 Sgr  |174513.3-285932 |M         |  9.4    |  10.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724819 |V4819 Sgr  |174513.4-290336 |M:        |  8.5    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724820 |V4820 Sgr  |174513.5-290527 |M:        |  7.3    |   8.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724821 |V4821 Sgr  |174514.2-285742 |M:        |  8.9    |   9.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724822 |V4822 Sgr  |174514.2-285645 |M         | 10.2    |  13.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724823 |V4823 Sgr  |174514.2-291045 |M         |  9.5    |  10.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724824 |V4824 Sgr  |174514.4-285744 |M:        |  9.9    |  10.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724825 |V4825 Sgr  |174514.6-290440 |M:        |  8.7    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724826 |V4826 Sgr  |174515.3-285150 |M         |  9.5    |  10.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724827 |V4827 Sgr  |174516.1-290920 |M         |  8.5    |   9.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724828 |V4828 Sgr  |174516.4-291116 |M         |  9.1    |  10.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724829 |V4829 Sgr  |174517.1-290134 |M:        | 10.0    |  11.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724830 |V4830 Sgr  |174517.1-290409 |M         |  7.5    |   8.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724831 |V4831 Sgr  |174517.4-290425 |M         |  7.8    |   8.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724832 |V4832 Sgr  |174517.9-290918 |M:        |  8.4    |   9.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724833 |V4833 Sgr  |174518.6-290036 |M         |  9.0    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724834 |V4834 Sgr  |174518.8-284920 |M:        |  9.2    |  10.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724835 |V4835 Sgr  |174519.0-285527 |M:        | 10.1    |  10.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724836 |V4836 Sgr  |174519.5-290325 |M:        |  8.9    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724837 |V4837 Sgr  |174519.7-291121 |M:        |  8.6    |  10.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724838 |V4838 Sgr  |174520.1-290208 |M:        |  9.2    |  10.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724839 |V4839 Sgr  |174520.1-290050 |M:        |  9.7    |  10.7      |            |K |            |     |                    |     |                 |77133 2MASS|
724840 |V4840 Sgr  |174520.5-290719 |M         | 10.1    |  11.4      |            |K |            |     |                    |     |                 |77133 2MASS|
724841 |V4841 Sgr  |174521.0-290845 |M         | 10.5    |  11.8      |            |K |            |     |                    |     |                 |77133      |
724842 |V4842 Sgr  |174521.4-290636 |M         |  9.8    |  11.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724843 |V4843 Sgr  |174522.6-290326 |M         | 10.6    |  12.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724844 |V4844 Sgr  |174522.8-291017 |M         |  8.5    |   9.6      |            |K |            |     |                    |     |                 |77133 2MASS|
724845 |V4845 Sgr  |174522.8-285933 |M         |  8.0    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724846 |V4846 Sgr  |174522.9-290342 |M         |  9.6    |  10.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724847 |V4847 Sgr  |174523.1-285636 |M         |  9.2    |  10.7      |            |K |            |     |                    |     |                 |77133 2MASS|
724848 |V4848 Sgr  |174523.8-285618 |M:        |  9.2    |   9.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724849 |V4849 Sgr  |174523.9-285539 |M         |  9.3    |  10.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724850 |V4850 Sgr  |174524.0-285128 |M:        | 11.1    |  11.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724851 |V4851 Sgr  |174525.6-285402 |M:        |  8.9    |   9.9      |            |K |            |     |                    |     |                 |77133 2MASS|
724852 |V4852 Sgr  |174525.8-290419 |M:        |  8.5    |   9.4      |            |K |            |     |                    |     |                 |77133 2MASS|
724853 |V4853 Sgr  |174525.9-285105 |M         | 10.0    |  12.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724854 |V4854 Sgr  |174526.2-290604 |M         |  9.0    |  10.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724855 |V4855 Sgr  |174526.3-290002 |M:        |  8.6    |   9.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724856 |V4856 Sgr  |174526.3-290924 |M         |  9.0    |  10.9      |            |K |            |     |                    |     |                 |77133 2MASS|
724857 |V4857 Sgr  |174526.5-285035 |M:        |  9.5    |  10.4      |            |K |            |     |                    |     |                 |77133 2MASS|
724858 |V4858 Sgr  |174526.7-285624 |M:        |  8.8    |   9.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724859 |V4859 Sgr  |174527.1-285918 |M:        |  9.0    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724860 |V4860 Sgr  |174527.5-285423 |M         | 10.4    |  11.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724861 |V4861 Sgr  |174527.5-285938 |M:        | 10.2    |  11.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724862 |V4862 Sgr  |174527.7-285853 |M:        |  8.5    |   9.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724863 |V4863 Sgr  |174527.8-290234 |M         |  8.9    |  10.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724864 |V4864 Sgr  |174527.8-285812 |M         |  7.7    |   8.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724865 |V4865 Sgr  |174528.1-285433 |M         | 10.0    |  13.0      |            |K |            |     |                    |     |                 |77133 UCAC2|
724866 |V4866 Sgr  |174528.0-290016 |M         |  9.3    |  10.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724867 |V4867 Sgr  |174528.1-284940 |M         | 10.5    |  11.7      |            |K |            |     |                    |     |                 |77133 2MASS|
724868 |V4868 Sgr  |174528.2-285331 |M:        |  8.9    |   9.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724869 |V4869 Sgr  |174528.4-285414 |M         |  9.3    |  10.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724870 |V4870 Sgr  |174528.4-290400 |M         |  8.6    |   9.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724871 |V4871 Sgr  |174528.6-285959 |M:        |  9.1    |  10.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724872 |V4872 Sgr  |174528.7-290146 |M:        |  7.7    |   9.4      |            |K |            |     |                    |     |                 |77133 2MASS|
724873 |V4873 Sgr  |174528.8-285544 |M         | 10.3    |  12.1      |            |K |            |     |                    |     |                 |77133      |
724874 |V4874 Sgr  |174529.0-290413 |M:        |  8.3    |   9.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724875 |V4875 Sgr  |174529.2-290704 |M         |  9.5    |  11.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724876 |V4876 Sgr  |174529.7-285611 |M         |  9.5    |  10.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724877 |V4877 Sgr  |174530.0-290510 |M:        |  7.8    |   8.7      |            |K |            |     |                    |     |                 |77133 2MASS|
724878 |V4878 Sgr  |174530.4-290014 |M         |  9.5    |  11.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724879 |V4879 Sgr  |174530.4-285750 |M         |  7.8    |   8.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724880 |V4880 Sgr  |174530.6-285939 |M         |  9.0    |  11.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724881 |V4881 Sgr  |174530.7-285649 |M         |  9.8    |  11.4      |            |K |            |     |                    |     |                 |77133 2MASS|
724882 |V4882 Sgr  |174530.7-285801 |M:        | 10.4    |  11.4      |            |K |            |     |                    |     |                 |77133 2MASS|
724883 |V4883 Sgr  |174530.9-290141 |M         |  9.5    |  11.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724884 |V4884 Sgr  |174530.9-290521 |M         |  8.4    |   8.9      |            |K |            |     |                    |     |                 |77133 2MASS|
724885 |V4885 Sgr  |174531.1-290030 |M:        |  9.6    |  10.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724886 |V4886 Sgr  |174531.6-291124 |M:        |  9.8    |  10.8      |            |K |            |     |                    |     |                 |77133      |
724887 |V4887 Sgr  |174531.9-285747 |M         |  8.4    |   9.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724888 |V4888 Sgr  |174532.1-290209 |M:        |  8.5    |   9.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724889 |V4889 Sgr  |174532.2-290818 |M:        | 10.3    |  11.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724890 |V4890 Sgr  |174532.3-290205 |M         |  9.7    |  11.7      |            |K |            |     |                    |     |                 |77133      |
724891 |V4891 Sgr  |174532.5-290159 |M         |  9.2    |  10.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724892 |V4892 Sgr  |174532.8-290523 |SR:       |  8.5    |   9.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724893 |V4893 Sgr  |174533.0-290110 |SR:       |  9.4    |  12.0      |            |K |            |     |                    |     |                 |77133      |
724894 |V4894 Sgr  |174533.1-291111 |M:        |  9.6    |  10.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724895 |V4895 Sgr  |174533.1-285922 |M:        |  9.2    |  10.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724896 |V4896 Sgr  |174533.2-285555 |M         |  8.8    |  10.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724897 |V4897 Sgr  |174533.3-284858 |M         |  9.1    |  10.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724898 |V4898 Sgr  |174533.7-285912 |M:        |  8.7    |   9.6      |            |K |            |     |                    |     |                 |77133 2MASS|
724899 |V4899 Sgr  |174533.8-290235 |M:        |  9.4    |  10.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724900 |V4900 Sgr  |174534.2-290010 |M:        |  9.2    |   9.9      |            |K |            |     |                    |     |                 |77133 2MASS|
724901 |V4901 Sgr  |174534.4-290208 |M:        |  9.7    |  10.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724902 |V4902 Sgr  |174534.4-285403 |M:        | 10.5    |  12.1      |            |K |            |     |                    |     |                 |77133      |
724903 |V4903 Sgr  |174534.7-290732 |M:        |  7.9    |   8.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724904 |V4904 Sgr  |174534.8-290154 |M:        |  8.7    |   9.4      |            |K |            |     |                    |     |                 |77133 2MASS|
724905 |V4905 Sgr  |174535.3-290832 |M         |  9.2    |  11.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724906 |V4906 Sgr  |174535.6-290325 |M:        |  9.0    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724907 |V4907 Sgr  |174535.8-285740 |M:        |  9.0    |   9.7      |            |K |            |     |                    |     |                 |77133 2MASS|
724908 |V4908 Sgr  |174536.1-290500 |M         |  8.6    |   9.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724909 |V4909 Sgr  |174536.4-285000 |M         |  9.4    |  10.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724910 |V4910 Sgr  |174537.2-290046 |M         |  9.9    |  11.1      |            |K |            |     |                    |     |                 |77133      |
724911 |V4911 Sgr  |174538.0-290102 |M         |  9.2    |  11.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724912 |V4912 Sgr  |174538.0-285622 |M         |  7.4    |   8.4      |            |K |            |     |                    |     |                 |77133 2MASS|
724913 |V4913 Sgr  |174538.3-285702 |M         |  8.4    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724914 |V4914 Sgr  |174538.3-290904 |M:        |  9.0    |  10.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724915 |V4915 Sgr  |174538.5-284824 |M         |  9.2    |  10.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724916 |V4916 Sgr  |174538.5-285606 |M:        |  8.3    |   9.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724917 |V4917 Sgr  |174538.7-290610 |M:        |  9.7    |  10.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724918 |V4918 Sgr  |174538.8-285636 |M:        |  8.2    |   8.7      |            |K |            |     |                    |     |                 |77133 2MASS|
724919 |V4919 Sgr  |174539.5-285730 |M:        |  9.2    |   9.6      |            |K |            |     |                    |     |                 |77133 2MASS|
724920 |V4920 Sgr  |174540.5-290035 |M:        |  8.3    |   9.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724921 |V4921 Sgr  |174540.5-290812 |M:        |  8.9    |   9.7      |            |K |            |     |                    |     |                 |77133 2MASS|
724922 |V4922 Sgr  |174540.5-285320 |SR:       |  8.3    |   9.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724923 |V4923 Sgr  |174540.8-290034 |M:        |  9.0    |   9.7      |            |K |            |     |                    |     |                 |77133      |
724924 |V4924 Sgr  |174541.1-285623 |M:        |  8.0    |   8.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724925 |V4925 Sgr  |174541.7-285236 |M         |  8.7    |   9.7      |            |K |            |     |                    |     |                 |77133 2MASS|
724926 |V4926 Sgr  |174542.1-285637 |M:        |  8.7    |   9.7      |            |K |            |     |                    |     |                 |77133 2MASS|
724927 |V4927 Sgr  |174542.3-285139 |M:        |  9.2    |  10.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724928 |V4928 Sgr  |174542.7-285958 |M:        |  7.6    |   8.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724929 |V4929 Sgr  |174543.0-285154 |M         |  9.3    |  11.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724930 |V4930 Sgr  |174543.0-290012 |M         |  8.2    |   9.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724931 |V4931 Sgr  |174543.2-285422 |M         |  8.3    |   9.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724932 |V4932 Sgr  |174543.3-284822 |M         |  8.9    |  10.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724933 |V4933 Sgr  |174544.3-285153 |M:        |  8.5    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724934 |V4934 Sgr  |174544.7-285815 |M         |  7.8    |   9.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724935 |V4935 Sgr  |174545.0-285234 |M         |  9.7    |  10.7      |            |K |            |     |                    |     |                 |77133 2MASS|
724936 |V4936 Sgr  |174545.1-285741 |M         |  8.1    |   9.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724937 |V4937 Sgr  |174545.3-285346 |M         |  8.6    |  10.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724938 |V4938 Sgr  |174546.9-285700 |M:        |  8.5    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724939 |V4939 Sgr  |174547.1-285536 |M:        |  8.6    |   9.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724940 |V4940 Sgr  |174547.4-290424 |M         | 11.0    |  12.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724941 |V4941 Sgr  |174547.7-285529 |M         | 10.1    |  11.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724942 |V4942 Sgr  |174547.8-285625 |M         |  9.1    |   9.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724943 |V4943 Sgr  |174547.9-285304 |M         |  8.4    |  10.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724944 |V4944 Sgr  |174548.0-285521 |M:        |  8.5    |   9.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724945 |V4945 Sgr  |174548.0-290302 |M         |  8.6    |   9.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724946 |V4946 Sgr  |174548.2-285124 |M         |  6.5    |   7.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724947 |V4947 Sgr  |174548.6-290357 |M:        |  8.1    |   8.6      |            |K |            |     |                    |     |                 |77133 2MASS|
724948 |V4948 Sgr  |174549.8-285651 |M         |  7.6    |   8.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724949 |V4949 Sgr  |174550.0-285248 |M         | 10.8    |  12.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724950 |V4950 Sgr  |174550.1-285338 |M:        |  9.8    |  11.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724951 |V4951 Sgr  |174550.4-290922 |M:        |  9.4    |  10.4      |            |K |            |     |                    |     |                 |77133 2MASS|
724952 |V4952 Sgr  |174550.7-285400 |M:        |  9.6    |  10.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724953 |V4953 Sgr  |174550.8-290421 |M         |  9.2    |  10.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724954 |V4954 Sgr  |174551.0-290148 |M         |  9.3    |  10.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724955 |V4955 Sgr *|174551.4-285803 |M:        | 10.3    |  11.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724956 |V4956 Sgr  |174552.2-285131 |M         |  8.5    |  10.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724957 |V4957 Sgr  |174552.4-290202 |M         |  9.5    |  11.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724958 |V4958 Sgr  |174553.1-290428 |M         |  9.7    |  11.0      |            |K |            |     |                    |     |                 |77133 2MASS|
724959 |V4959 Sgr  |174553.5-284950 |M         |  8.3    |   9.6      |            |K |            |     |                    |     |                 |77133 2MASS|
724960 |V4960 Sgr  |174553.8-285635 |M         |  9.1    |   9.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724961 |V4961 Sgr  |174555.3-291007 |M         |  8.4    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724962 |V4962 Sgr  |174555.5-285011 |M         |  8.2    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724963 |V4963 Sgr  |174555.5-290628 |M         |  9.6    |  10.7      |            |K |            |     |                    |     |                 |77133 2MASS|
724964 |V4964 Sgr  |174555.7-290128 |M:        |  9.0    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724965 |V4965 Sgr  |174555.8-290313 |M         |  9.0    |  10.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724966 |V4966 Sgr  |174556.2-284948 |M         |  9.7    |  10.6      |            |K |            |     |                    |     |                 |77133 2MASS|
724967 |V4967 Sgr  |174556.3-285109 |M:        |  7.3    |   8.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724968 |V4968 Sgr  |174556.4-284927 |M         |  8.8    |   9.4      |            |K |            |     |                    |     |                 |77133 2MASS|
724969 |V4969 Sgr  |174556.8-290631 |M         |  8.2    |   9.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724970 |V4970 Sgr  |174557.1-285559 |M         |  7.5    |   8.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724971 |V4971 Sgr  |174557.5-290743 |M:        |  9.8    |  10.7      |            |K |            |     |                    |     |                 |77133 2MASS|
724972 |V4972 Sgr  |174557.9-290736 |M:        |  9.6    |  10.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724973 |V4973 Sgr  |174558.4-285336 |M:        |  8.4    |   9.7      |            |K |            |     |                    |     |                 |77133 2MASS|
724974 |V4974 Sgr  |174558.7-290807 |M         |  8.1    |   8.6      |            |K |            |     |                    |     |                 |77133 2MASS|
724975 |V4975 Sgr  |174559.3-291200 |M         |  8.3    |   9.4      |            |K |            |     |                    |     |                 |77133 2MASS|
724976 |V4976 Sgr  |174559.5-285444 |M         |  8.8    |   9.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724977 |V4977 Sgr  |174559.6-285412 |M         |  8.4    |  10.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724978 |V4978 Sgr  |174559.9-290212 |M:        |  9.1    |  10.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724979 |V4979 Sgr  |174600.5-285332 |M:        |  9.2    |   9.9      |            |K |            |     |                    |     |                 |77133 2MASS|
724980 |V4980 Sgr  |174600.9-285451 |M:        |  8.9    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724981 |V4981 Sgr  |174600.9-290601 |M         |  8.4    |   9.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724982 |V4982 Sgr  |174601.0-290334 |M:        |  8.4    |   8.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724983 |V4983 Sgr  |174601.7-290655 |M         |  8.7    |   9.9      |            |K |            |     |                    |     |                 |77133 2MASS|
724984 |V4984 Sgr  |174601.9-290142 |M         |  9.5    |  10.6      |            |K |            |     |                    |     |                 |77133 2MASS|
724985 |V4985 Sgr  |174602.2-285315 |M:        |  8.8    |   9.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724986 |V4986 Sgr  |174603.4-285829 |M         |  9.2    |  10.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724987 |V4987 Sgr  |174603.5-285135 |M         |  9.5    |  11.1      |            |K |            |     |                    |     |                 |77133 2MASS|
724988 |V4988 Sgr  |174603.6-285742 |M         |  9.2    |  10.3      |            |K |            |     |                    |     |                 |77133 2MASS|
724989 |V4989 Sgr  |174603.6-290419 |M:        |  9.1    |   9.5      |            |K |            |     |                    |     |                 |77133 2MASS|
724990 |V4990 Sgr  |174603.9-285657 |M:        |  9.6    |  10.4      |            |K |            |     |                    |     |                 |77133 2MASS|
724991 |V4991 Sgr  |174604.0-285233 |M:        |  7.3    |   8.2      |            |K |            |     |                    |     |                 |77133 2MASS|
724992 |V4992 Sgr  |174604.1-285625 |M:        |  8.9    |   9.6      |            |K |            |     |                    |     |                 |77133 2MASS|
724993 |V4993 Sgr  |174604.2-285956 |M:        |  9.3    |   9.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724994 |V4994 Sgr  |174604.3-285737 |M:        |  7.0    |   7.4      |            |K |            |     |                    |     |                 |77133 2MASS|
724995 |V4995 Sgr  |174604.6-290547 |M         |  9.8    |  11.0      |            |K |            |     |                    |     |                 |77133      |
724996 |V4996 Sgr  |174604.7-285333 |M:        |  9.1    |   9.9      |            |K |            |     |                    |     |                 |77133 2MASS|
724997 |V4997 Sgr  |174605.0-290355 |M         |  8.2    |   8.8      |            |K |            |     |                    |     |                 |77133 2MASS|
724998 |V4998 Sgr  |174605.6-285132 |SR:       |  6.3    |   7.4      |            |K |            |     |                    |     |                 |77133 2MASS|
724999 |V4999 Sgr  |174605.9-290632 |M:        |  8.7    |   9.4      |            |K |            |     |                    |     |                 |77133 2MASS|
725000 |V5000 Sgr  |174606.2-285000 |M         |  8.9    |  10.2      |            |K |            |     |                    |     |                 |77133 2MASS|
725001 |V5001 Sgr  |174606.3-290000 |M:        |  8.8    |   9.7      |            |K |            |     |                    |     |                 |77133 2MASS|
725002 |V5002 Sgr  |174606.3-285907 |M         |  8.9    |  10.4      |            |K |            |     |                    |     |                 |77133 2MASS|
725003 |V5003 Sgr  |174606.5-285556 |M:        |  8.9    |   9.8      |            |K |            |     |                    |     |                 |77133 2MASS|
725004 |V5004 Sgr  |174607.5-291043 |M         |  8.5    |   9.7      |            |K |            |     |                    |     |                 |77133 2MASS|
725005 |V5005 Sgr  |174607.6-290454 |M         |  8.6    |   9.4      |            |K |            |     |                    |     |                 |77133 2MASS|
725006 |V5006 Sgr  |174607.7-285734 |M:        |  9.0    |   9.8      |            |K |            |     |                    |     |                 |77133 2MASS|
725007 |V5007 Sgr  |174607.8-290206 |M:        |  9.1    |   9.6      |            |K |            |     |                    |     |                 |77133 2MASS|
725008 |V5008 Sgr  |174607.9-290423 |M         |  9.7    |  11.0      |            |K |            |     |                    |     |                 |77133 2MASS|
725009 |V5009 Sgr  |174608.1-284849 |M:        |  7.2    |   7.8      |            |K |            |     |                    |     |                 |77133 2MASS|
725010 |V5010 Sgr  |174608.6-291017 |M         |  8.6    |   9.3      |            |K |            |     |                    |     |                 |77133 2MASS|
725011 |V5011 Sgr  |174609.8-285119 |M         |  9.0    |  10.2      |            |K |            |     |                    |     |                 |77133 2MASS|
725012 |V5012 Sgr  |174609.9-291210 |M:        |  7.6    |   8.1      |            |K |            |     |                    |     |                 |77133 2MASS|
